category,Title ,Base_Reviews
frustration,difficult to access connection between Ipad and Amazon firestick,difficult to access connection between Ipad and Amazon firestick. Not bale to activate connection
frustration,Very slow,Very slow. Lags a lot. The demo only lasts for 5 minutes. Avoid.
frustration,Doesn't work with iPhone,"Doesn't work with iPhone. It simply did not work.  Unfortunately, you have to pay to download it before you know that it simply doesn't work.  After installing on Firetv, attempting to use it on an Apple iPhone running the Disney Plus app as soon as you attempt to share the screen using the AirBeamTV Mirroring Receiver app it blanks out the display on the phone and throws an error on the TV."
frustration,There is a lag of 5 seconds. Not worth the money!,There is a lag of 5 seconds. Not worth the money!. There is a lag of 5 seconds. Not good for mirroring.
frustration,Useless,Useless. Doesn’t work. Can’t start anything and all is does is show a flying squirrel
frustration,Don't waste your money!,"Don't waste your money!. Awful app.  Constantly freezes and have to completely re-boot the system to get it to work.  Support says uninstall and re-install which doesn't fix the problem.  Save your 9.99  Fyi, the only reason I gave it 1 star is because I can't submit the review with 0 stars."
frustration,stupid,stupid. stupid
frustration,Paid,Paid. If you want sound to come out of the tv as well then you have to pay for the app. Hated this part
frustration,Did not work,Did not work. Hate it! Didn’t work for me
frustration,Sucks,Sucks. This sucks and Dosent work it’s fuzzy and off
frustration,Don't bother,"Don't bother. Crashes every few min, no sound, 2 second lag, can't watch videos, waste of time."
frustration,Very hard to figure out.,Very hard to figure out.. Tried to use on my fire TV. Could not get it to work.
frustration,Unable to get it to work,Unable to get it to work. Unable to get it to work  and no help available.
frustration,Waste of,Waste of. App keeps dropping connection between TV and Computer. Waste of money
frustration,Don’t waste your time and money,"Don’t waste your time and money. It didn’t work even though I had to pay $4.99 for the app on Apple. It worked for like 5 seconds, then nothing. Waste of money."
frustration,Too laggy,"Too laggy. I've tried several to mirror my computer to a screen, and this isn't it, too bad. Too laggy"
frustration,Did not work,"Did not work. Did not work.  I had to buy app on iPhone and still didn’t work properly.  Save yourself the time, money and trouble."
frustration,Bad App,Bad App. Does not work and I am having trouble deleting the App.
frustration,Ughhh,Ughhh. Complicated
frustration,Doesn’t work,"Doesn’t work. It 100% didn’t work. The screen of your phone shows up, but once you try to stream anything it goes black."
frustration,Did not work at all :(,Did not work at all :(. Followed the directions and tried several times. No good. Did not work at all :(
frustration,Waste of time,Waste of time. Waste of time
frustration,terrible interface,terrible interface. never left the home screen. Never responded to me
frustration,Don’t waste your memory,Don’t waste your memory. Doesn’t work with iPhone
frustration,No good,No good. No good
frustration,Doesn’t work,Doesn’t work. Not working app won’t launch waste of time and bandwidth
frustration,Outdated Technology,Outdated Technology. Very laggy. Not suitable for modern day use.
frustration,Hard to use and lags quite a bit,Hard to use and lags quite a bit. All around average product.
frustration,Awful app,Awful app. Video just kept stopping and going. Could not enjoy the video at all.
frustration,Sucks,Sucks. Lags
frustration,Horrible app,Horrible app. Most frustrating app I’ve ever encountered
frustration,Worthless,Worthless. Worthless.
frustration,Didn work,Didn work. It freezes often.  Not good
frustration,Terrible app,Terrible app. So slow
frustration,What a waste,What a waste. I never could get this download to mirror properly.
frustration,Useless,Useless. Didn’t work
frustration,The app is slow and laggy on several occasions I ...,The app is slow and laggy on several occasions I .... The app is slow and laggy on several occasions I had to actually reboot to go any further with that but it does exactly what it says it does
frustration,Worst purchase,Worst purchase. Freezes all the time
frustration,Waste of time,"Waste of time. This app barely works. It does send a picture to the TV, but it's low quality, constantly freezes and lags behind the source by up to a minute, despite 100Mg/s internet connection.  Expect frustration."
frustration,Dont like it,Dont like it. Difficult to use.
frustration,It’s not free,It’s not free. It’s not free
frustration,useless for casting,useless for casting. useless for casting
frustration,Crap,Crap. Didn't work at all
frustration,"Poor connection , wouldn’t bother","Poor connection , wouldn’t bother. Would not purchase again. I have received a refund.It would constantly drop connection , would not re connect , it was laggy and froze constantlyYou would get approx 20 min solid connection then it wouldn’t work."
frustration,It works! But you need to be a bit tech savvy,"It works! But you need to be a bit tech savvy. Works as long as your not using a VPN... the main reason why I got it to stream my phone to tv.. it does when your on a home app, but not good for the traveller!"
frustration,Poor,"Poor. Couldn’t get it to work,  deleted the app"
confusion,Not very good. Lags all the time.,Not very good. Lags all the time.. Lags A LOT. It need to be more quicker. This is not very good when presenting. I would like a refund please. This is no longer used.
confusion,Don’t buy. It’s awful.,Don’t buy. It’s awful.. Not happy. Had to buy this and it didn’t even work. Extremely frustrated.
confusion,Quite out after 5 mins repeatedly,"Quite out after 5 mins repeatedly. Difficult to launch, have to play from my iPad before launching on the fire stick and after 5 mins the app quits out repeatedly"
confusion,Complicated,Complicated. Paid my money and couldn't get the Gig from my laptop onto my television screen.
confusion,Poor audio sync,Poor audio sync. Very poor mirroring with significant audio lag.
confusion,Quite useless. Don’t waste your money,Quite useless. Don’t waste your money. Its quite useless. It is cumbersome to use as it imitates screen recording on phone to mirror your screen. Thus the sound on phone does not go off automatically. There is a major lag in the cast... more than 5 seconds. Seems like the app has frozen to function every now and then due to the lag. The link keeps getting lost especially when on the chrome browser.
confusion,Technology isn’t there yet for a Toshiba Fire TV from an apple computer,Technology isn’t there yet for a Toshiba Fire TV from an apple computer. Flaky. Mirroring kept dropping. This was just frustrating
confusion,Worst app,Worst app. Worst app
confusion,I am unable to do mirroring,I am unable to do mirroring. I am unable to do mirroring
confusion,Glitchy,Glitchy. Glitchy and not clear
confusion,Can anyone make this work?,Can anyone make this work?. At first I thought I was too stupid or too rushed to get this app to work but then I read the reviews and saw that most others could not get it to work either. I will delete this app.
confusion,Froze the Firestick,"Froze the Firestick. Installed on Amazon Firestick with no problem.  However, my iPhone 6s would not connect to it.  The picture on my TV would only give the AirBeamTV logo and would not allow me to use my controller for the Firestick.  Each time I would have to remove the power cord and the Firestick itself to clear the screen and plug it back together to get back control of my Amazon prime video.  After 3 attempts I deleted the app and called it a waste of time."
confusion,Unable to download,"Unable to download. Attempted to download with no success. Attempted a second time and after a very long download, it finished. At that time I was informed it would cost $4.99 to continue.  The product should disclose there is a fee prior to wasting everyone's time."
confusion,"Terrible, from an iPhone users perspective","Terrible, from an iPhone users perspective. Terrible optimization, especially for iPhone users like myself. Simply put, if you’re looking for something to cast to your tv and own an iPhone, you can’t. Well, I haven’t found a decent app yet, beyond having an apple tv"
confusion,Don’t waste your time,Don’t waste your time. Didn’t work.
confusion,Enormous POS,"Enormous POS. Worst ever. Doesn’t work, waste of time, money and sanity. Sadly so many other ways to accomplish what you need for free that I only learned after my horrific experience with this enormous POS."
confusion,Not worth it,Not worth it. This App is ridiculous not worth the frustration
confusion,Trial time is very short,Trial time is very short. Trial lasts only a few minutes
confusion,Misleading,Misleading. The app is installed for free on your firestick but they you have to pay to download the mobile version of the app. Very annoying.
confusion,Not working,Not working. Waste of time
confusion,Poor product,"Poor product. Doesn't work , a bad product, must be easier to use so upgraded as per requirement of users"
confusion,Not worth the hassle,Not worth the hassle. App is simply a single image that directs to an external website. Website didn’t work for me anyway.
confusion,Waste of time to review this product.,Waste of time to review this product.. Waste of time to review this product.
confusion,Bugs!😕,"Bugs!😕. My kindle fire is bug free, but Mobile Strike is always glitches! It just like pauses for a second. It also is very slow, so I have to tap several times to get it to go. I do not recommend this game to anyone, though I wish I could.😐"
confusion,A teen with a tablet,"A teen with a tablet. As someone who is well versed in the world of gaming, the lag is terrible. I've played it in multiple locations each a different wireless range and the lag is the same across the board. Considering that I use a 4th gen Kindle Fire HD; this troubles me. With the fact that the tablet I use is a quad-core; I shouldn't have this much lag in any scenario. I am glad at least that the game itself is free and I understand that the developers have to make some money. But I will not deny my distaste of the game's favoritism to the pay-to-win faction. As for the advertising; once again I understand that in order to get such a game out there, it takes quite a bit. But I think that Arnold Schwarzenegger was a bit overkill. My advice to the developers: try the Linux approach. It's not supposed to be about the money. It's supposed to be about bringing people together to have fun. If the game were truly equalized; I know for a fact that the game would gain more positive reviews at a faster than that of which can be seen the day I posted this comment: 198 people said 5 stars. 254 people said 1 star."
confusion,Glitchy and expensive,Glitchy and expensive. Very glitchy game that requires alot of time AND money.  Nothing will pizz you off more than spending $400-500 on an electronic game just to have it crash constantly and lose items that you have spent time and money building.  Until they fix the glitches and bugs its not worth it.
confusion,Pushes your buttons,"Pushes your buttons. Do you like pushing buttons, then waiting to push buttons, then having your device beep at you to push buttons, and waiting for the game to reload after the game crashes after pushing buttons? No? Then you push the gold button and pay to push buttons without waiting. Yippee!Oh, and if you get bored pushing buttons just read the idiots comments in chat."
confusion,Very Limited Chance to Be Successful,"Very Limited Chance to Be Successful. This game is terrible.  Does not work well on older IOS/Android devices -glitchy and slow.  I have an Iphone 4S and every time I go to the state map, it crashes.  The game is simple enough but not really strategic.  You are basically told what to upgrade.  But, if you are not part of one of the big alliances in the state, you are going to get crushed.  I have played for a few weeks and every time I get to a certain power, the reigning alliance destroys my base and takes all of my resources.  If you want to spend an arm and a leg, you might get competitive but the large alliances will still rally a ton of troops and crush you.  I finally spent some money to get close to my alliance and then got wiped out in the first day when they just kept hitting base after base.  Unless, you can play constantly, you will likely never build up your power."
confusion,Not Ready For Kindle AppStore,"Not Ready For Kindle AppStore. I've played Mobile Strike off both Google and Kindle. It can be a fun time waster provided the application is stable but the Kindle Fire version needs a LOT of work. Obviously, the game designers have put more effort into squeezing your wallet full of your hard earned cash than developing a stable platform. If you're not familiar with MS it's similar in design to Game of War. You construct your base from resources you build but they must be constructed in a proper order. Constructions use resources and cost time. If you plan to spend some time with this game then it's worthwhile to read some of the guides on the net. Those avid, take no prisoners players will quickly decimate your bases, drain your resources and execute your commander. These players, seemingly with unlimited disposable income, dominate most of the areas in the game. A player can literally rack up tens of thousands of dollars with bonus crates with speedup, boosts, extra resources, power options and other powerful items offerred at a ""HUGE DISCOUNT"" 😕. At one point your commander will be stuck at a particular level because you need to acquire 'commendations' which you have no choice but to purchase to get further in the game. This pay to play game is one of the worst I've seen in a long time! I'm shocked but not surprised that Arnold would endorse a game that takes advantage of their customers in this grossly unskilled combat game that you can only win by being the player that pays the most."
confusion,So frustrating!!!!!!,"So frustrating!!!!!!. Let me start by saying I LOVE this game! But I haven't been able to play in almost a week! The app keeps kicking me out and force closing to the app store with a memo that states that I don't have the app store so the app can't run.....and then it automatically sends me to the app store.....which obviously I have or it couldn't send me to it!!!! MADDENING 😤 Fix my app, I beg of you! I miss my alliance! And playing the game!!!"
confusion,There is a lot of bullying and dirty speeches in this game,"There is a lot of bullying and dirty speeches in this game. I played this game 24/7 for two months. I was level 18 and about 9 million power.the highest player in my state was 360 million power, that means he paid tons of money to reach level.if you are not willing to play 24/7 and throw tons of cash, don't even bother your self to download the game.the game is very addictive and  very time consuming. your family and real friends need you than holding your iPad and playing with foreigners.There is a lot of bullying and dirty speeches in this game.leader of the alliance think them self a real commanders."
confusion,"No food in packs, packs to expensive for what ...","No food in packs, packs to expensive for what .... No food in packs, packs to expensive for what your getting, hard to mail a message to opponent ,when you  Txt a letter on key pad a number comes up"
confusion,Good game for millionaires!,"Good game for millionaires!. Only hope you have to be slightly competitive in this game is to spend $10,000 on it and thats just to be competitive not to rule at it?Do yourself a favour take a holiday, upgrade your car, build that extention on the house it'll be money better spent than downloading this game!"
confusion,not a good game,not a good game. Vary slow vary laggy not a good game
confusion,Deleting it after this review,"Deleting it after this review. Probably a decent game, if not for my BlackBerry platform. I found it ran slow with a dash of glitches. I'm most likely going to delete it after this reveiw."
confusion,"Perhaps it was my ipad, but the game was ...","Perhaps it was my ipad, but the game was .... Perhaps it was my ipad, but the game was laggy to me. Pushing a button, then hearing the noise a second."
confusion,"Not really. I used the app, i didnt ...","Not really. I used the app, i didnt .... Not really. I used the app, i didnt get any discount and it was so slow using it. i had to unninstall the app. I tried lo install the app again last night to see if i could get a deal on the mobile strike packs. I cannot link the 2 together anymore to buy a pack???"
confusion,One Star,One Star. installation impossible
confusion,Costs £1000s to get anywhere in this game. Also full of glitches when events are on,"Costs £1000s to get anywhere in this game. Also full of glitches when events are on. Annoying, frustrating and expensive to play if you want to get anywhere in the game. Still playing it tho Haha."
confusion,"mobile strike, don't bother","mobile strike, don't bother. I attempted to play and gave it 2 days with the same results. The lag is terrible and gameplay very slow. Deleted, my advice don't bother"
confusion,To laggy its anoying,To laggy its anoying. Don't download if you hate lag
confusion,Slow...,Slow.... Slow and laggy to the point it's not fun anymore
confusion,Terrible,"Terrible. Way to laggy and absolutely no fun at all to play. All the game consists of is tapping some &#34;buildings&#34; to level them up and getting &#34;missions&#34; fired in your face (you see what I did there?) UI is difficult to read, and game lags even if your WiFi is on 4 bars AND you have all other apps closed."
confusion,"""pointless""","""pointless"". Not worth a rate difficult to understand just a waste of time"
confusion,One Star,"One Star. Boring, tutorials were annoying and tedious"
confusion,Game play slow,Game play slow. Very slow
confusion,Don't play,"Don't play. Played this for years when it started out ,Played mech world has well but had to stop has it's to explenvise to play updates are daily ,Need to win the lottery to keep your base strong in this game , I hate to think what I spent on this game, my last  count was over 15 k ,  stopped count after that ,Don't play this game unless your loaded ,"
confusion,Lag,Lag. Unfortunately it was unplayable as there was too much lag. I uninstalled it after about 3 minutes : (
confusion,.,.. To slow for me
confusion,Waste of effort.,Waste of effort.. Legs constantly. My son deleted it as got frustrating.
confusion,Do not bother keeps crashing.,Do not bother keeps crashing.. Waste of time. After down loading every time I tried to play the game it crashed and locked the kindle so I had to keep turning it off and restarting it. If I could give O stars I would.
confusion,One Star,One Star. Hard work
confusion,Not for us,Not for us. Didn’t understand the ‘set up’ and pop ups annoying
confusion,how laggy ?,"how laggy ?. This game is so bad don't get it, it lags so much"
confusion,Okay,"Okay. A copy of game of war and laggy, sorry."
confusion,"Just a cash cow game, you should not have ...","Just a cash cow game, you should not have .... Just a cash cow game, you should not have to pay ridiculous amounts of cash to play a game specialy not to progress in the game, payments to a game should be for added perks only not to actualy play the game itself. Without payment lucky to reach level 10"
confusion,Creators are too greedy,"Creators are too greedy. Is nothing like advertising, and you need to buy packs daily  if you have a chance,otherwise you need to stay shielded all the time. Packs are not cheap. The first one is cheap  the second  more expensive and after that are $99 each. You need at least 3 packs a week. This is not a war game but building all the time and researching. No matter how many packs you buy or how much money you spend on this game it doesn't worth  nothing the next day. All the  sales are advertising in  the game are still $99."
confusion,Connection,"Connection. Have been expierencing difficulty in connecting to the game, might the servers be too small?"
confusion,Repetitive,Repetitive. The same gAme as game of war.repetitive.
confusion,Basically useless unless you are prepared to part with money,Basically useless unless you are prepared to part with money. Basically useless unless you are prepared to part with money. There is no way to progress without spending a lot of money.
confusion,LAG LAG LAG,LAG LAG LAG. This is a scrap game!!!! It is based on LAG
confusion,Too complicated to start,"Too complicated to start. Too many example scenarios, difficult to get into the game without tips & hints interfering"
confusion,Ridiculously expensive.,Ridiculously expensive.. Most expensive game I’ve encountered you will need deep pockets to progress with it.
confusion,long tutorial,long tutorial. i got this game yesterday and played it for about a hour and even now i haven't finushed the flipin tutorial!!!do not recommend to you 👎
confusion,Judder,Judder. All the bad reviews are correct I couldn't even play the first training mission of building a farm.
confusion,Rich mans game,Rich mans game. When I started playing 18 months ago the game was genius now because there new levels new gear and mods out every week and you have to buy packs to keep up players are bored and angry the way the game has progressed and  have left the game  you are constantly having to reboot your device when the game freezes or you get booted out during game play.there software is flawed and ruins thee experience of the game..you can complain to your hearts content yet you still having to buy packs to keep up.WASTE OF TIME AND MONEY
confusion,Suffers from the same problem as most of these games ...,Suffers from the same problem as most of these games .... Suffers from the same problem as most of these games after an initial flurry of action you end up spending 90% of your time waiting for last thing you did to finish or spending a lot of money in little bits to speed things up. I was playing the version from the kindle app store and the slow down on it made the game practically unplayable with waits for a response to clicking a building or and upgrade sometimes taking minutes to appear. After trying to play several times during the day I can say that was a game issue not a hardware one.
confusion,Constantly crashing,Constantly crashing. Do not install this game as it constantly crashes on my device
confusion,didn't like game.,didn't like game.. Find to complicated. didn't like game.
confusion,No time to enjoy with this quick moving game,No time to enjoy with this quick moving game. Game moves forward to quickly it doesnt cater for people with limited funds i think they think everyone has an endless supply of cash game would suit millionaires and not ordinary folk
confusion,One Star,One Star. not for me tro slow
confusion,Crashes a lot. Good base and character building but very little else to play for,"Crashes a lot. Good base and character building but very little else to play for. I'm writing a revised review after 6-7 days of playing the game. I originally posted 4 stars, but knocking this down to 2.Starting with the positive, there are a few elements of the game which are quite enjoyable and some pretty in depth and have received some thought from the developers. The base building element is quite good and the ability to customize your character and bases strengths and weekends by electing where to invest your skills/research time or what modifications you make upon your gear is pretty good too. However, you soon realize that there is very little else to the game. Basically the battle / 'mission' elements to the game are just lacking. Missions are basically an endeviour of clicking a start button, waiting for somewhere between 2 minutes to 2 hours to elapse and then clicking a 'collect' button - I wish I could say it was more exciting but that's it. You can wage battles against your opponents however - sound more promising? Well, you basically pick a base to attack, send your troops in, and await for them to return to here the outcome. You do not see the battle, fight the battle, influence the battle or have any real sway over its outcome as far as I can see. So you spend all your time in the game bascially just increasing elements of your base from one level to the next. Furthermore, because all base items are chained dependencies upon each other, actually your base customization is really poor. You must upgrade your Wall to upgrade your HQ, and you must upgrade your Iron Mine (I think) to upgrade your wall and so on and so forth. The chose you have of what to build becomes simply a matter of 'how many' of each item you choose to build.Next on my hit list to highlight is the games undeniable drive to have you spend your money. My character is on level 19 and has a VIP level of 7 after quite a lot of hours played this week, but for the grand total of £3.99 you can start at level 50 which a VIP level of 30. Else, given the exponential increase in time it takes to build, train and research i imagine that would take about 1 month. If you don't want to spend you have a long waiting game ahead to be anywhere near those players who do. At every turn the game tries to pries you from this 3.99 investment with extra base items, unlocks for various things, huge amounts of gold etc. Its a bit too 'in your face' for my liking. I'm open minded to spending money on a game - but I first seek to see if its a game i'd like to play for some time - but alas if I spent money on this game, other than having a more powerful base I don't see what for - there's so little else to the game play that it just all feels a little pointless.The final point i'd draw attention to is the games reliability. This may not be the same for all - I guess it could be devise related but while sometimes I can play the game for over an hour, at other times the game might just exit every few minutes forcing a constant reload. It becomes really frustrating. I'm using an Amazon Fire 7"" Tablet for the record."
confusion,VERY VERY LAGGY,VERY VERY LAGGY. I can't believe I did not take any notice of the other reviews The most terrible lag on my Kindle Fire Really not worth the effort
confusion,Too many adverts,Too many adverts. Keep getting adverts of this game on other games so dounloaded  it to see if it stopped the ads. It didnt
confusion,In-app purchases fail to appear,In-app purchases fail to appear. Works fine on Android and iOS. Unfortunately it seems a bit hit or miss whether any in-app purchases made on my Kindle Fire actually turn up in game.
confusion,Save your time and money!!!,Save your time and money!!!. You can not compete unless you constantly buy packs. Plenty of players quit the game selling their accounts after a few months.
confusion,"Don't download this game, will drain you completely,","Don't download this game, will drain you completely,. Don't download this game, will drain you completely, if u want to play u need to spend load of money weekly"
confusion,extremely boring,extremely boring. The tutorial is really annoying because it starts the missions for you when your trying to do something else and its always lagging
confusion,Avoid on Amazon Fire.,"Avoid on Amazon Fire.. Had to write this as if your playing on Amazon fire this will apply to you too,game crashes every 10 or so minutes, sometimes longer sometimes less. Starts with chat crashing ( keyboard keeps flagging on and off ) followed by an app crash.EW it should be noted haven't a clue on what customer service looks like, never mind being able to implement anyting. Contacted them several times, explaining the issue, their only response reinstall game ( have done this probably more times than I've played it now ) or check for updates which its been upto date everyday. Wouldn't be so bad but this app does require somesortof spending to fully appreciate the game and for those rare moments when it works, its a great game, its being let down by stability issues and poor customer / technical support.Honestly I'd avoid if I were you and try the same format just the medieval version Game of War.No stability issues there and better free bonuses."
confusion,Don't waste your time,Don't waste your time. Don't waste your time
confusion,Useless,Useless. Doesn't work
confusion,Limited,"Limited. Limited options, and when you open them up ,they start missing the beginning."
confusion,Don’t waste your time!,"Don’t waste your time!. Never work, I had to give one star because it doesn’t let me leave it in blank"
confusion,waste of time does'nt work it only goes 90% left it for an hour and it just stay there at 90%,waste of time does'nt work it only goes 90% left it for an hour and it just stay there at 90%. didn't work waste of time
confusion,Poor quality,Poor quality. Tried for over two hours and would not find the device in setup
confusion,did not work well,"did not work well. slow,kept shutting down"
confusion,App Didn't Work,App Didn't Work. App won't  Complete Download... It Stops at 90%.I will try again down the road.
confusion,Hauppauge my tv app not working,Hauppauge my tv app not working. Would not complete setup so I uninstalled it.
confusion,Doesn't work,Doesn't work. Never worked.  Unable to connect to wifi even though fire stick already connected.
confusion,Waste of time,Waste of time. Did not work.
confusion,WILL NOT LOAD PAST 90%,WILL NOT LOAD PAST 90%. No opinion since it won't load.
confusion,State all the facts,State all the facts. Unable to use. I think there is an additional accessory required which it does not state. Fire stick alone does not do anything.
confusion,Not able to sign into the app,Not able to sign into the app. I am not able to sign into the app
confusion,don't waste your time,don't waste your time. this app does not work
confusion,bad interface!,bad interface!. Couldn't get it to synch with the wifi. I tried multiple times
confusion,Really,Really. Not working
confusion,Slow download speed,Slow download speed. How long does this damn settings download take? My internet speed is 1 gig and it's still taking forever and I have no other devices on. Does this app work?
confusion,Doesn't load,Doesn't load. App doesn't load -- multiple tries.
confusion,Seem like a waste of time,Seem like a waste of time. Can't watch anything I want
confusion,bad app,bad app. It doesn't work
confusion,No Good,No Good. Can’t get it to work.
confusion,Would not install correctly,"Would not install correctly. Product sounded like a good app,  but would not load past 90% on installation which makes it useless !!"
confusion,Does not work,Does not work. Will not load past 90%
confusion,Doesn’t work!,Doesn’t work!. I was never able to get it to load completely. It stopped loading at 90%.
confusion,No good,No good. Doesn't work
confusion,Does not complete the upload,Does not complete the upload. Stopped uploading at 95%
confusion,Hard to set up,Hard to set up. To difficult to set up.  No other app is this difficult.
confusion,Unable to setup,Unable to setup. I cannot get it to set up.  It freezes at 90%
confusion,Don’t waste your time.,"Don’t waste your time.. Won’t connect to WiFi, so it’s basically useless."
confusion,Junk,Junk. 90 percent load no more???
confusion,Skip it,Skip it. Too slow to liad
confusion,does not load past 90%,does not load past 90%. does not load past 90%
frustration,the upload process never completed,the upload process never completed. the upload process stopped at 90% for 2 days.  I finally gave up and deleted the selection.  waste of time.
frustration,No good,"No good. As other reviewers mentioned, this app does not work. It gets stuck at 90% loading. This app was therefore deleted promptly."
frustration,Won’t download,"Won’t download. As many say, it gets to 90% and won’t finish downloading. Too bad."
frustration,One Star,One Star. Too complicated
frustration,Don't waste your,Don't waste your. Craziness!!!!!Don't waste your time
frustration,Frustrating puzzle.,Frustrating puzzle.. At first was a delight.  Puzzle play was ok  but after level 8 was attained puzzle play is very frustrating  might get your item after playing puzzle 20 times  doesn't even date want stars for puzzle play.
frustration,Hard to play,Hard to play. It is a little hard to play
frustration,Updating the game,Updating the game. Game would not update. So I tried to unistall it and reinstall  and it started from the beginning I don't like that but I love the game please fix the problem
frustration,Two Stars,Two Stars. I really like this game. But it keeps freezing and will not let me go any farther.
frustration,"Fun, but","Fun, but. This app is painful to play on my new HD fire. It is very unresposive"
frustration,Unhappy Camper,Unhappy Camper. App will not open after latest update. I am NOT a happy camper!
frustration,"""To complete level faster""","""To complete level faster"". On the first level I wondered why so many hints popped up saying how to complete a level faster, then after playing later levels over and over and OVER, each time making MINIMAL progress it all made sense.- Is the developer trying to make the levels annoying long (repetitive) in hopes that people will spend money on energy to advance?-  Has the developer made the game really short to keeps progress slow?Also, I 'd appreciate it if the item that you may receive from the level only showed up when it was actually available. Don't give me a pic of what I think I'm trying for that won't actually come until the location is updated."
frustration,Game,"Game. To much to read, didn't like"
frustration,Not good...,Not good.... This game would not play!
frustration,frustrating,frustrating. This was fun until it crashed and no longer loads.  Fix it or refund coins for bonuses already earned.
frustration,Challenging,"Challenging. I love playing the game and find it fairly challenging. Especially, to play without using diamonds. It gets so expensive using diamonds or crystals I think they're called. And some rounds you almost have to use them. Like the ones where they give you time limits. On some of them, they never give you enough time. I played one at least 25 times and gave up and used the crystals to get more time. Then there is the fact you run out of energy. You either have to buy more or wait until it is restored. That is frustrating, especially if you're using a magic spell that has a time limit. I do wish that they had instructions somewhere to look at and read. There are parts that I do not understand. I will keep playing until I am bored. If they would put the instructions in it would help because I would know what my goal is. I have quit other games over no instructions. They make it impossible to write to them at these games usually. I dare you to get Kim Kardashian Hollywood to give you a real answer to a question or give back money lost. At least in this game, I had a mix up on a purchase of crystals and called Amazon, and got a refund right away. So it's my recommendation to try this game."
frustration,Lives,Lives. It uses too many lives. I like the game but if you beat the level you should get to keep your lives not lose then. In other games you only lose the life if you lose the round.
frustration,love it except.....,love it except...... Would give 5 stars except I've played 19 levels looking for a single item. The game doesn't like to give the items you need to turn in collections!!
frustration,Cradle,Cradle. It is fun but I hate the waiting to recharge.
frustration,Nothing,Nothing. I like that it is similar to candy crush. What I don't like is it constantly repeat examples of how to play the game
frustration,Slightly frustrating,Slightly frustrating. It takes too long to complete task on levels and you have to play the SAME game over again to get the target
frustration,Too expensive & too slow,Too expensive & too slow. This game had potential but it takes too long to gather the required ingredients to complete the quests. You have to play a level multiple times before you get the item shown. I believe they want you to get so frustrated you will buy what you need.
frustration,cradle of empires,"cradle of empires. Game is ok, energy is expensive to buy and it doesn't regenerate fast enough.  On hard levels after I use all my energy then I have to play some other game and wait for it to regenerate."
frustration,Sky,Sky. Obtaining collection pieces is absurdly difficult... Been trying to get this one piece for weeks... I understand challenge...but this is crazy
frustration,No good instructions on how to play the game.,No good instructions on how to play the game.. It was very frustrating trying to figure things out.  Deleted it.
frustration,yich,yich. hard to do
frustration,Needs to be larger,Needs to be larger. This game needs to be larger for better viewing I can hardly see some of the things I need clearly💋
frustration,An added dimension for a match three game,An added dimension for a match three game. Intriguing gameplay with added dimension to just a plain match three game. I don't like that you have to play the same levels numerous times to progress.
frustration,To many Ads,To many Ads. Too much ads that it becomes annoying.
frustration,Fun but....,"Fun but..... Fun game to play but gets frustrating after a point . Cautions/complaints are: too few bonus tools unless you buy them (bombs, helmets, chariots), you can play a game many times and not get the key item, I have completed multiple sites but cannot upgrade to next levels until sufficient points are earned forcing you to play same games over and over or spend money. Cannot upload the game updates on kindle fire."
frustration,Quite aggravating,Quite aggravating. They tell you that you get needed items for beating a level. They don't tell you that you have to beat the level sometimes 6 times to get the item. Deleting the game.
frustration,unable to play,"unable to play. I have been unable to play this game, as the APP store crashes EVERY time it is loading. It is happening with several other games as well."
frustration,Needs a little work,Needs a little work. Really like it easy to play just a little slow getting needed assemblers
frustration,Frustrating feature,Frustrating feature. Agree don't like playing the same level 3-4 times before actually collecting item.This is very frustrating.
frustration,Deleted it after a few minutes.,Deleted it after a few minutes.. Witches and warlords and loud music. I just wanted to play a fun game.
frustration,Don't like paying for crystal,Don't like paying for crystal. I really enjoy planning the game but don't like the re a l money aspect. I think you should be a leader to exchange coins to keep playing.  I would rather pay for the game and not have to pay to continue playing.
frustration,Addicting but expensive,Addicting but expensive. Love this game and could play it nonstop except it becomes expensive. In order to play each level (game) requires crystals. Crystals are earned at a slow rate or in app purchase. Games are relatively short and fast so to play is 7-11 crystals adds up fast. I will be deleting as soon as these crystals are gone. Already spent over $50 in 24 hours.
frustration,fun relaxing game,"fun relaxing game. Game seems fun and relaxing, just don't be in a hurry. You need to wait often for energy to restore unless you want to pay to restore it."
frustration,Hard to.understand,Hard to.understand. Very hard to figure out what to do next or how to progress to new levels. Still using trial and error to figure it out.
frustration,Reconstruct Western Civilization,"Reconstruct Western Civilization. Fun, but you do end up spenting real cash to get past levels which I hate."
frustration,Update Stealing Progress,Update Stealing Progress. The update they forced out last week took back at least three weeks of progress.  Why was I set back about 5 levels?
frustration,not what I was looking for.,not what I was looking for.. I found it hard to figure out and too much incidentals in between actually getting to the boards to play
frustration,Not enjoyable & expensive,"Not enjoyable & expensive. Hard to learn confusing, expensive, had to keep buying things to proceed"
frustration,fun game,fun game. I keep getting an error message
frustration,hard to conect,hard to conect. Like the game but have trouble connecting to Twitter and Facebook
frustration,Learn as you progress. .,"Learn as you progress. .. I was really enjoying this game. Have spent over a month playing every night for several hours and finally got to rebuilding my ship. I know, not that far into the game by some standards. Turned it back on last night only to be back at the beginning and having to stat all over. I'll give It another try and hope it wont happen again  don't know if anyone else has had this problem."
